question,gemma3_reply
"Sida ku muuqata ama ku cad tuduca, Waa maxay nooca socotada ah ee aan laga yaabin in uu ka faa'iidaysto isticmaalka adeegyada wakiilka socdaalka?","The correct answer is **C: Socotada aan weli helin fiisahooda**.

The text explicitly states: ""Waxay sidoo kale kuu samayn karaan diyaar garaw hadii aad u baahantahay aad kaga fikirto bixinta ama soo saarista dhugmatiga aad ku tagayso (sida fiisaha)."" This means that arranging visas is something travel agents can assist with. Therefore, someone who hasn't obtained their visa yet would benefit from using a travel agent.

Let's look at why the other options are incorrect:

* **A: Socotada aan go'aan lahayn:**  The text doesn't mention anything about travelers lacking a decision.
* **B: Socotada u nugul u janjeeritaanka:** The text doesn't mention travelers being susceptible to delays.
* **D: Socotada doorbidaya heshiisyada xirmada ballansashada:** The text suggests travel agents offer bundled services, so someone choosing this would *benefit* from a travel agent.



"
Kuwan soo socda midkee aan lagu xusin tuducda inuu yahay faa'iidada laga helo iskadiwaangalinta loo maro wakiilka safarka?,"The correct answer is **A: Dukumeentiyada socdaalka oo degdeg ah (Emergency travel documents)**.

Here's why:

* The text explicitly mentions that travel agents can help with obtaining travel documents needed for your destination (like visas).  This implies assistance with emergency travel documents falls under their purview.

Let's look at why the other options are incorrect:

* **B: Heshiisyada hoteelada (Hotel agreements):** The text states that travel agents often have agreements with hotels, but it doesn't present this as a *benefit* you receive *by using the travel agent*. It just describes a common practice.
* **C: Baakadaha loo wada dhan yahay (All-inclusive packages):** The text describes travel agents offering interconnected services like breakfast, transportation, and flights/hotels, forming a package.  But the term ""all-inclusive package"" isn't used.
* **D: U boos qabashada ama ceelinta (Reservation or booking):** While travel agents *do* make reservations, the text doesn't frame this as a unique *benefit* of using them.  Making reservations is a standard function.



Therefore, emergency travel documents are the most likely benefit listed that isn't covered by other options.



"
"Sida ku muuqata ama ku cad tuduca, waa maxay waxa aanay aaladaha turjumaanka qoraalka ee wakhtiga-dhabta awoodin?","The correct answer is **A: Turjumidda calaamadaha ku qoran luqadaha shisheeye** (Translating text written in foreign languages).

Here's why:

* The text explicitly states: ""Barnaamijyada ku jira qaybtan qaarkood waxay xitaa turjumi karaan qoraal luuqad qalaad ah oo ku qoran calaamaso ama ashyaa dhulka yaal marka isticmaaluhu taleefankiisa casriga ah dhanka walxahaas u jeediyo."" (Some programs in this category can even translate text written in a foreign language that is on signs or objects on the ground when the user points their modern phone at it.)

Let's look at why the other options are incorrect:

* **B: Turjumaada dhamaan qaybaha qoraalka** (Translating all parts of the text) - The text mentions translation of specific items like signs, not *all* text.
* **C: Ku turjumida qoraalka walxaha iyada oo la isticmaalaayo telefoonka casriga ah** (Translating text on objects using a modern phone) - While the text mentions this, option A is a more precise description of the capability.
* **D: Sida saxda ah u turjumida 100% waqtiga saxda ah** (Translating accurately 100% of the time) - The text implies that translations are not always 100% accurate.



"
Maxaa ogolaanaya turjumaada in lagu sameeyo qaab intarnet la’aan ah ama oflayn?,"The correct answer is **C: Soo dejinta xogta luqadda (Downloading language data)**.

The text explicitly states: ""Google Translate, kaasoo ogolaada turjumista bilaa khadka ah ka dib markaad la soo degto xogta luqadaad rabto."" (Google Translate, which allows for offline translation after you download the language data you need.)

Here's why the other options are incorrect:

* **A: Qadadka turjumaadka ee la horumariyay (Translation algorithms):** While algorithms are essential, they don't *enable* offline translation.
* **B: Taleefannada casriga ah (Modern telephones):** Modern phones are necessary to *use* the app, but they don't inherently provide offline translation.
* **D: Codsiyada ku jira qaybta turjumaadda-waqtiga dhabta ah (Applications in the real-time translation section):** Real-time translation can be online or offline, but it's not the mechanism that makes offline translation possible. It's the downloaded data.
"
Kuwa soo socda kee baa aan kicinaynin ama aan keenaynin baraf badan?,"The correct answer is **A: Baraf isku dheg dhegan (Stable Ice)**.

Here's why:

The passage states the problem is when the ice *slides* and causes things to move.  ""Baraf isku dheg dhegan"" translates to ""Stable Ice"". Stable ice wouldn't slide and therefore wouldn't cause the issue of moving things.

Here's why the other options are incorrect:

*   **B: Aadanaha (Humans):** The passage directly mentions that humans can cause the ice to slide.
*   **C: Iftiinka Qorraxda (Sunlight):** While sunlight might melt ice, it doesn't directly cause the sliding and movement described as the problem.
*   **D: Baraf dheeraad ah oo da'aya (Old melting ice):** The passage describes old melting ice as a *cause* of the problem (sliding).



"
"Sida ku muuqata ama ku cad tuduca, Kuwa soo socda kee baa u soo dhaca sida barafka?","The correct answer is **C: Mugga barafka oo xad dhaaf ah oo ku yaal qaybaha dhaadheer ee buurta**.

Here's why:

The passage states that the problem with the ice is that it accumulates and then needs something to move it and cause it to fall, which can then trigger avalanches. This accumulation of ice happens in the ""mugga barafka"" (snowpack) at the top of the mountains.  Option C directly refers to this accumulation of excessive snowpack.

Let's look at why the other options are incorrect:

* **A: Baraf isku dhegdhegan oo wali kicin oo aad ahayn (Stable, unconsolidated snow):**  Unconsolidated snow isn't the primary issue causing avalanches.  It needs weight and a trigger.
* **B: Qaybaha dhaadheer ee buurta oo aan baraf lahayn (Bare slopes of the mountain):** Bare slopes aren't directly related to avalanches caused by snow.
* **D: Baraf aanan bini aadamka wali uusan taabanin (Snow that humans haven't touched):** Human touch isn't the *cause* of the avalanche, it's often a *trigger*. The underlying problem is the accumulation and instability of the snowpack.



"
"Sida ku muuqata ama ku cad tuduca, Waa kuwee maaddooyinka laga sameeyo curry-ga oo ah cunto aad u macaan?","The correct answer is **B: Dhirta qudaarta iyo dhirta udgoon badan**.

Here's why:

The text states that curry is made from:

*   ""geedo"" (herbs)
*   ""dhir cuntada"" (culinary plants)

These are essentially herbs and spices, which contribute to the flavor and aroma of curry. It also mentions that curry can include meat or vegetables, but the core components that make it ""curry"" are the herbs and spices.

Let's look at why the other options are incorrect:

*   **A: Caanaha Yogurt -ka iyo Biyo** (Yogurt and Water) - These are not mentioned as core ingredients in the definition of curry.
*   **C: Caanaha qumbaha iyo hilibka** (Cumin and Meat) - While cumin can be used, it's just one example of a spice, and the definition is broader.
*   **D: Qudaarta iyo caano** (Fruits and Dairy) -  Fruits and dairy aren't explicitly mentioned as fundamental components."
waa kuwee maadada kujirto curry-ga ee mararka qaarkooda la isticmaalaa si loogu badalo caanaha qumbaha gobolada qaarkood?,"The answer is **D: Dhirta udgoonka badan (Herbs)**.

The passage states: ""Curry ayaa cunto ka samaysan geedo, dhir cuntada, oo la socdaan hilib ama khudaar."" This translates to ""Curry is made from herbs, edible plants, and accompanied by meat or vegetables.""  Therefore, herbs are one of the primary components of curry.
"
Waa maxay sababta u leexashada agagaarka buurtaTransantarctic aay ugu baahantahay in la tago dhulka fidsan?,"The correct answer is **B: Barafka isku dhag dhagay khatar ayu leeyahay.**

Here's why:

* **The passage states the road is ""baraf adkaday"" (hardened ice) and the reason for the detour is to ""soo korto taagga"" (gain altitude).** This implies that the original route is difficult or dangerous, and the detour is to avoid a hazard.
* **""Barafka isku dhag dhagay khatar ayu leeyahay"" (The ice is treacherous/dangerous) directly supports this idea.**  The detour is likely to avoid a particularly dangerous section of ice.

Let's look at why the other options are incorrect:

* **A: Saldhigga McMurdo ayaa inta badan xiran (McMurdo Station is often closed):** The passage doesn't mention the station being closed. The road's difficulty is described, not the station's availability.
* **C: Cagaf-cagafyada khaaska ah maaha kuwo jilicsan (The special vehicles are not soft):**  The passage states the vehicles *are* special and designed for the ice, implying they are not ""soft.""
* **D: Way ka sahlan tahay inaad ku safarto badda Ross (It's easier to travel on the Ross Sea):** The passage explicitly states the road *doesn't* go on the Ross Sea, and the detour is a result of needing to gain altitude, making sea travel less likely.



"
maxaa lagu summeeyay calamada ku teedsan dariiqa cirifka koonfureed?,"The correct answer is **B: Cagaf-cagafyada ku raran shidaalka** (Ice roads that are hardened with fuel).

The passage states: ""Waxa mari kara oo keliya cagafyo gaar ah, kuwaasoo alaabooyin shidaal meesha ku qaada."" which translates to ""Only special ice roads can pass, which use fuel to harden the ice.""

Therefore, the ice roads are marked with the fuel used to harden them.
"
Maxaan tuduca lagu xusin wax ay tahay in dalxiisayaashu ogaadaan marka ay u sahaminayaan Koonfurta Afrika?,"The correct answer is **A: In wadamada kala duwani ay qabaan shuruudo kala duwan oo dhanka fiisaha ah.**

Here's why:

* The passage explicitly states: ""Shuruudaha dal-ku-galka iyo qarashkuba way ku kala duwan yihiin waddamada waxaana saameynaya waddanka aad ka imanayso."" This directly addresses the need for travelers to be aware of varying visa requirements.

Let's look at why the other options are incorrect:

* **B:** While the passage mentions road trips, it doesn't highlight it as a *way* to explore lesser-known places. It focuses on the practicality of road trips in general.
* **C:** The passage directly contradicts this by stating: ""Markaxda ku hay in inkastoo Koonfurta Afrika ay degan tahay, wadamada la deriska dhan ma degana.""
* **D:** The passage acknowledges that a 4x4 is *recommended* but doesn't state it's *required* for all road trips. It's more about being prepared for different terrains.



"
"Sida ku muuqata ama ku cad tuduca, maxaa loo qaadan karaa in aay tahay tala xun oo la siiyo dalxiisayaasha raadinaya inay Koonfurta Afrika ku sahamiyaan ayaga oo isticmaalaya baabuur?","The correct answer is **A: Waxyaalaha degdega ah ee gaadhiga dhexdiisa ayaa laga yaabaa inuu u baahdo sharci** (Emergency equipment in the car might need a permit).

Here's why:

* The passage explicitly states: ""Waddan kasta sidoo kale waxa uu leeyahay shuruuc cusub oo sheegaya ashayaada degdeg ah ee ay tahay in gaariga ay saaraarto."" (Each country also has new laws stating the emergency items that must be in the car). This implies that having the *required* emergency equipment might need specific permits or be subject to regulations.

Let's look at why the other options are incorrect:

* **B: In kastoo isticmaalka baabuurka 4x4 lagu taliyay, inta badan goobaha waxaa lagu isticmaali karaa baabuur iska caadi ah** (Although the use of a 4x4 car is recommended, most places can be accessed with a regular car) - The passage says 4x4 is *recommended*, not that regular cars are sufficient everywhere.
* **C: Ku safrida baabuurka waxay u fiican tahay kuwa raadinaya inay ka leexdaan waddooyinka caadiga ah** (Driving a car is good for those looking to go off the beaten path) - The passage doesn't say this is a benefit of driving.
* **D: Dhammaan dalalka deriska la ah Koonfurta Afrika maaha kuwo ku habboon in la booqdo** (All neighboring countries of South Africa are not suitable for visiting) - The passage says this, but it's not presented as a *problem* or a *potential issue* that needs a permit. It's just a fact.



"
Keeba kuwa soo socda aan lagu xusin tuduca in uu yahay khatar ka dhalan karta ama ka iman karta in la tago bacahaaga iyaga oo aan cidina ilaalinayn?,"The correct answer is **B: Adigoon ogeyn waxaad noqon kartaa mid ka shaqeeya ilaalinta daroogada.**

Here's why:

The text explicitly states: ""Waxaad ogaaneysa adiga laguu isticmaaley sidaha daroogada adigoon ogeyn..."" (You know you could be used as a carrier of drugs without knowing...). This directly connects to the idea of unknowingly being involved in drug trafficking.

Let's look at why the other options are less accurate:

* **A: Waa laga yaabaa in la xado (It might be confiscated):** While possible, the text focuses on the *risk* associated with leaving bags unattended, not just the potential for confiscation.
* **C: Waxay ku khaldami karaan qof kale (Someone else might mistake it):** This is a possibility, but the primary concern highlighted in the text is the intentional misuse of bags for drug trafficking.
* **D: Maamuladu waxa ay u arki karaan bamba dhici rabto taas oo aad u khatar badan (Authorities might see it as a potential bomb):**  The text mentions the risk of unattended bags being mistaken for bombs, but it's presented as a separate, though related, danger. The core danger described is drug trafficking.



"
Waa maxay waxa tuduca aan lagu xusin ee ku saabsan qaadashada daroogada?,"The correct answer is **A: Wadamada qaarkood, dambiilayaasha markii ugu horeysay danbiga galay waxaa lagu xukumi karaa dil**.

The text explicitly states: ""...waxaa ka mid noqon karaa xarig ka badan 10 sannadood ama dil."" This directly supports option A.

Here's why the other options are incorrect:

* **B: Taxaddar dheeraad ah waa in la sameeyaa markaad u safrayso wadamada caalamka:** While the text *does* recommend being cautious, it doesn't specifically state that *additional* caution is required.
* **C: Eeyaha dhuuqa maandooriyaha ayaa la isticmaali karaa iyaga oo aan la ogaanin:** The text mentions that seized packages may contain ""minen,"" but doesn't detail the use of ""eeyaha dhuuqa maandooriyaha"" (likely a misspelling/translation issue).
* **D: Maamulka ayaa laga yaabaa inay la wareegaan boorsooyinkaaga, xitaa haddii aadan wadanin daroogo:**  The text mentions authorities may seize packages, but doesn't explicitly state this will happen *even if you haven't carried drugs.* It's implied that seizing occurs due to suspicion of drugs or other dangers.



"
Cabbitaan noocee ah ayaan loo xusin inuu yahay shay laisku dayi karo in lagu sameeyo guriga inta lagu jiro fasaxa?,"The correct answer is **D: Shaaha**.

The text explicitly states: ""Guriga ka buuxso kafee qaniya subaxii habeenkiina waxooga shaah dajiye jamomayla ah."" (Fill your home with fragrant coffee in the morning, and brew a little tea in the evening.) This indicates tea is something you can make at home. The text then goes on to suggest experimenting with drinks during a break, implying tea as a possibility.
"
Kuwan soo socda keebaa habboon inaad booqato inta lagu jiro fasaxa haddii magaaladaada ay caan ku tahay dhaqanka cabitaanka?,"The correct answer is **C: Makhaayadaha aanad sida caadiga ah aad ugu badnayn (Restaurants you don't usually go to).**

Here's why:

* The passage suggests exploring new places to try different drinks during a vacation. 
* Option C directly aligns with this suggestion by recommending visiting restaurants you wouldn't normally frequent, implying a chance to discover new bars and potentially unique drink options.

Let's look at why the other options are less suitable:

* **A: Dukaamada kafeega ee ku yaala diwada xaafadaada (Coffee shops in your neighborhood):** This is too similar to your regular routine. The passage is about trying something new.
* **B: Casiirka iyo dukaamada cabitaanka (Juice and beverage stores):** While you might find drinks there, it doesn't specifically address the ""dhaqanka cabitaanka"" (drinking culture) aspect mentioned in the passage.
* **D: Makhaayadaha soo diyaariya shaaha chamomile-ka (Restaurants that serve chamomile tea):** This is focused on a specific, calming drink and doesn't relate to exploring the broader drinking culture.



"
Halkee ayay farshaxannada ama sawirada qoolleyda aay ku yallaan?,"The correct answer is **M: Mel u jirto mel loo soconaay nus saac tuulada (A)**.

The text explicitly states: ""Barxadda kaniisadda, waxaa ku yaalo farshaxan qooley laga qoray dhagaxa dhalada u eg oo ku yaalo qabriyo korkooda."" (On the churchyard, there is a tribal fresco written on a gemstone-like stone located on top of the graves.) and ""...Waxaay qaadanaysaa nusasaace in la dhex lugeeyo tuulada aadka u xiisaha badan."" (...It takes half an hour to walk through the very interesting village.) This implies the fresco is located *in* the churchyard, which is part of the village and accessible after walking through it.  Option A best reflects this.

Option B (Gudaha kaniisada - Inside the church) is too specific - the fresco is on the churchyard, not *inside* the building itself.

Option C (Jasiiradda Eysturoy - The island of Eysturoy) is incorrect because the fresco is specifically located in Haldarsvík, which is on Eysturoy, but the question asks *where* the fresco is located within Haldarsvík.

Option D (Kaniisadda gudaheeda - Inside the church) is incorrect for the same reason as B.

Therefore, the best answer is A.
"
Fiisaha noocee ah ayaa laga yaabaa inuu u baahdo qofka inuu bixiyo caddaynta taageero lacageed oo ku filan?,"The correct answer is **D: Fiiisaha ardayda**.

The text explicitly states: ""Fiisayaasha ardaydu guud ahaan waxay leeyihiin shuruudo...sidoo kale caddayn tusinaysa inaad haysato qarashkaad wax ku baran lahayd ugu yaraan sannadka ugu horeeya ee kooraskaaga."" This directly links student visas with the requirement to prove sufficient financial support.
"
Yaa ay u badan tahay inuu u baahdo muda gororkisa fiisaha?,"The correct answer is **C: Arday caalami ah**

Here's why:

The text explicitly states: ""u tagista arday caalami ah guud ahaan waxay u baahan tahay sii joogitaan ka dheer halka loo aado sida dalxiis Caadi ah. Guud ahaan, joogista waddan ajanabi muddo dheer waxay kaaga baahan tahay inaad fiiso horey ka sii hesho. Fiisayaasha ardaydu guud ahaan waxay leeyihiin shuruudo iyo habraac ka duwan kuwa dalxiisa caadiga ah iyo kuwa ganacsiga.""

This clearly indicates that international students require a visa for stays longer than typical tourism.
"
Goorma ayay tahay inaad si gaar ah uga digtoonaato kaneecada?,"The correct answer is **C: Kaynta roobka (Storing hay)**.

The text explicitly states that you should be extra cautious of snakes when storing hay, even in a silo. This makes option C the most accurate answer.
"
"Sida ku muuqata ama ku cad tuduca, maxaa la gudboon inaad iska ilaaliso inaad samayso si aad uga fogaato kaneecada marka aad dhex marayso kaynta roobka?","The correct answer is **C: Wadista iyada oo la marayo meelaha kulaala-hoosaadka ah**

Here's why:

The text states that even a few cracks opened by a dog can allow a cat to enter a car. Option C, driving through areas with cat presence, directly addresses the risk of encountering a cat. The other options are incorrect:

*   **A: Ka tagista albaabada baabuurka oo furan muddo aad u dheer** - This is the *opposite* of what you should do.
*   **B: Wadista inta lagu jiro xiliga xagaaga** - The text doesn't connect summer to cat risk.
*   **D: Ka tagista baabuurka isaga oo aan cidna la joogin xiliga socodka masaafada dheer** - This increases the risk, as the car is unattended.



"
"Sida ku muuqata ama ku cad tuduca, Kee baa weedhahan soo socda ee ku saabsan Sundarbans aan run ahayn?","The correct answer is **B: Nus ka mid ah bedka guud ahaan waxa uu leeyahay dhiiqo** (More than half of the area has water).

Here's why:

* **The text explicitly states:** ""Sundarbans waxay ka kooban yahiin dhul gaarayo ilaaa 3,850km², taas oo saddex meelood meel ay qariyeen biyo/goobo biyo fadhiyaan."" (Sundarbans consists of a total area of up to 3,850km², three-fifths of which are submerged land/wetlands).
* **Option B accurately reflects this information.**

Let's look at why the other options are incorrect:

* **A: Waxaay tilmaamaysaa qaar kamid ah kaymaha waaweyn ee hadhay** (It describes some of the oldest trees): While the text mentions the Sundarbans were once extensive, it doesn't say *some* of the trees are old.  It's implied the area was once a large forest.
* **C: Waa goobta kaynta mangrove-ka ee ugu weyn adduunka** (It is the largest mangrove forest in the world): The text *does* state this: ""Waa goobta kaynta mangrove-ka ee ugu weyn adduunka.""
* **D: Waxay hoy u tahay deerada la arko ee ka badan shabeelada Bengal** (It is a habitat for more Royal Bengal tigers than the Ganges River): The text says ""400 shabeelka Royal Bengal ah..."" (400 Royal Bengal tigers...). It doesn't say *more* than the Ganges River, just that tigers are found there.



Therefore, the only statement that is *not* explicitly supported by the text is option B."
Waa kuwee qayb ka mid ah kaynta oo ku taalla dhulka Hindiya?,"The correct answer is **A: Beerta Qaranka ee Sundarbans**.

The text explicitly states: ""Qaybta kaynta ee dhulka Hindiya ku taal waxa loogu yeedhaa Barxadda Qaran ee Duurka qurux badan."" which translates to ""The mangrove forest part located in India is called the Sundarbans National Park.""
"
"Sida ku muuqata ama ku cad tuduca, Yaa ay u badan tahay in uu leeyahay ugu yaraan fahamka xaddidan ee luqadda Ingiriisiga?","The best answer is **A: Dadka ku hadla ugu yaraan laba luqadood oo kale.**

Here's why:

* **The passage emphasizes language diversity:** The text highlights the existence of over 5,000 languages and the difficulty of understanding spoken words, even compared to written ones.
* **The scenario describes diverse speakers:** The example of people from Manchester, Boston, Jamaica, and Sydney illustrates a mix of different regional dialects and likely, different first languages.
* **Limited English proficiency is implied:**  The scenario *implies* that these individuals might not have a completely fluent understanding of each other's English dialects.  They're sharing stories in their ""home language and market tongue,"" suggesting a reliance on dialects and perhaps even code-switching.
* **Option A directly addresses this:**  Someone who speaks at least two other languages is more likely to have a *limited* understanding of English *compared to someone who speaks only English*.  They are navigating a linguistic landscape where their English isn't their primary mode of communication.

Let's look at why the other options are less likely:

* **B: Dadka da'doodu aay yar tahay:** While younger people *might* have a more limited vocabulary, it doesn't automatically mean they have limited *understanding* of English.  Many younger people in English-speaking countries have excellent English proficiency.
* **C: Dadka u safraya Toronto:**  Traveling to Toronto doesn't inherently mean someone has limited English. Many tourists are prepared to communicate in English.
* **D: Dadka da'doodu aay weyn tahay:** Older people *might* have less exposure to modern language changes, but that doesn't automatically equate to limited *understanding*.



Therefore, option A is the most logical inference based on the information provided in the passage."
"Sida ku muuqata ama ku cad tuduca, maxaa adkaani kara in lagu dhawaaqo?","The correct answer is **A: Erayada lahjada gaarka ah (Dialect words)**.

The passage specifically states: ""jeedina, taas oo ay adag tahay in lagu dhawaaqo si la fahmi karo"" which translates to ""pronunciation, which is difficult to understand."" This refers to dialect words, which are specific to certain regions or groups and often have unique pronunciations.

Let's look at why the other options are incorrect:

* **B: Cinwaanada (Titles):** The passage doesn't mention titles.
* **C: Ereyada qoran (Written words):** The passage states written words are easier to understand than spoken words.
* **D: Halqabsiga deegaanka (Regional accents):** While regional accents are related to dialect, the passage explicitly mentions the *pronunciation* being difficult, which is more directly tied to dialect words themselves."
"Sida ku muuqata ama ku cad tuduca, Xaaladdee ayaa ku habboon qofka socotada ah ee qorsheynaya inuu baska ka raaco saldhigga degmooyinka dhexdooda?","The correct answer is **A: Socdaalku waxa uu ku sii jeedaa Jakar oo waxa uu hore u iibsaday tigidhka.**

Here's why:

* **The text states:** Buses going to Jakar/Bumthang often leave between 6:30 and 7:30 AM.
* **It also states:** ""In ta badan degmooyinka waxaa ka shaqeeya basaska koostarada Jabaaniska, kuwaaso ah kuwo raaxo wanaagsan."" (In most districts, Japanese-style buses operate, which are comfortable.)
* **Finally:** "" waxaa lagula telinaya in aad iibsato tikidh ka hor maalmo."" (It's advised to buy tickets in advance.)

Therefore, a traveler going to Jakar who has already purchased a ticket is in the best position to catch one of the buses leaving around 6:30-7:30 AM.

Let's look at why the other options are incorrect:

* **B: Socdaalku wuxuu ku sii jeedaa Bumthang wuxuuna u baahan yahay inuu baxo 7 saac:** While Bumthang is a common destination, the text specifically mentions the 6:30-7:30 AM timeframe for Jakar/Bumthang buses, and doesn't provide a specific departure time for Bumthang.
* **C: Socdaalku wuxuu u socdaa Paro wuxuuna u baahan yahay inuu baxo 11 saac ka dib:** The text doesn't mention Paro or any specific departure time.
* **D: Socdaalku waxa uu u socdaa bari waxana uu imanayaa saldhiga ka hor 6:20:** The text doesn't mention travel direction (east) or a specific arrival time.



"
Maxay noqon lahayd talo wanaagsan oo la siinaayo dalxiisaha doonaya inuu bari uga socdaalo saldhigga basaska ee degmooyinka dhexdooda?,"The best answer is **B: Iibso tigidh hormaris ah (Buy a pre-booked ticket)**.

Here's why:

* **The problem:** The passage states buses often leave before 6:30-7:30 AM and that buses between districts are often crowded.
* **The solution:** The passage explicitly says you're *told* to buy tickets in advance. This suggests pre-booking is the way to avoid the crowds and ensure a seat.

Let's look at why the other options are less suitable:

* **A: Basasku waxay baxaan kaliya 8:30 ka dib (Buses only leave after 8:30 AM):** This contradicts the information in the passage that buses do leave earlier (6:30-7:30 AM).
* **C: Basas badan ayaa baxa maalinta oo dhan (Many buses leave throughout the day):** While true, this doesn't address the problem of crowded buses. Pre-booking helps avoid the crowds, regardless of how many buses run.
* **D: Tagaasida la wadaago ayaa laga yaabaa inay tahay habka ugu wanaagsan ee safarka (Shared taxis might be the best way to travel):** While shared taxis are mentioned as a convenient option for short distances, the question specifically asks about travel *from* the district bus station, implying longer distances.
"
Midkee ka mid ah kuwan soo socda oo aan si sax ah aan u qeexaynin Timbuktu?,"The correct answer is **C: Laguma isticmaali karo diyaarad (You can't use an airplane)**.

Here's why:

* The passage explicitly states: ""Waxay na qabtaa garoon diyaarado"" which translates to ""It has an airport."" 
* Option C directly contradicts this statement.

Let's look at why the other options are incorrect:

* **A: Waxay leedahay saamayn Carabi in ka badan marka loo eego dalka intiisa kale (It has a more Arab influence than the rest of the country):** The passage states this directly: ""Magaalada waxa ay leedahay ka duwaansho adag magaaloyinka dalka intiisa kale, sababtoo ah waxa ayleedahay qaab Carbeed inte Afrikaan ahaan laheyd."" (The city has a distinctiveness from the cities of the country, because it had an Arab style.)
* **B: Waa meel saboolnimo aay ku habsatay (It is a place that has been plagued by poverty):**  The passage mentions being on the list of the world's most dangerous places due to the risk of armed conflict, but it doesn't explicitly label it as simply ""poor."" It frames it within a context of danger and conflict.
* **D: Waxay wali tahay goob soo jiidato dalxiisayaal cajiib ah (It is still an amazing place that attracts tourists):** The passage mentions it being a special place of the world and having hosted events, indicating it *does* attract tourists, even if its current state is not as glamorous as in the past.



Therefore, option C is the only one that is definitively *incorrect* based on the provided text."
Midkee ka mid ah xaqiiqooyinka soo socda ee ku saabsan Timbuktu ayaa sax ah?,"The correct answer is **A: Magaalada waxaa lagu isticmaali karaa diyaarad**.

Here's why:

* **The text states:** ""waxay na qabtaa garoon diyaarado"" which translates to ""it has an airport."" This directly confirms that Timbuktu can be accessed by airplane.

Let's look at why the other options are incorrect:

* **B: Aad ayay mel qalaad u tahay marka loo eego saboolnimada:** The text says ""Maanta, Timbuktu ayaa ah magaalo faqiir ah"" (Today, Timbuktu is a poor city), but it doesn't claim it's *more* poor than other places.
* **C: Waxay leedahay wax ka qabad Afrikaan oo yar marka loo eego magaalooyinka ku hareeraysan:** The text explicitly says ""Magaalada waxa ay leedahay ka duwaansho adag magaaloyinka dalka intiisa kale, sababtoo ah waxa ayleedahay qaab Carbeed inte Afrikaan ahaan laheyd"" (The city has a distinctiveness from other cities in the country because it has an Arab style). This contradicts the statement in option C.
* **D: Magaaladu hadda ma soo jiidato dalxiisayaasha:** The text mentions it was a significant location during Henry Louis Gate's Wonders of the World PPS, indicating it *did* attract tourists in the past. While it might not be as popular as before, the text doesn't say it doesn't attract tourists *now*.



"
Goorma ayaa markii hore la qorsheeyay ciyaaraha Olombikada xagaaga? ,"The correct answer is **B: Ogosto 2020**.

The passage states: ""Hadii aad ballansatay duulimadyadaada iyo goobaha aad dagi lahayd 2020 kahor inta aan dib udhigida lagu dhawaaqin..."" This indicates the Olympics were initially planned for August 2020.
"
"Sida ku muuqata ama ku cad tuduca, goorma ayay mandiqadda noqotaa mid sida daweesha daluulyada oo kale?","The correct answer is **D: Ka dib markii aay taabtay dhulka**.

Here's why:

The passage states the following: ""Waxay ku bilaaben tuunbo lagagudbinayo daruuraha dabeesha waxayna noqotay “taluuliye” marka ay taabtan dhulka."" This directly translates to ""It begins as a column of rotating wind that lifts the air around it and rises. It generates a high-level storm (often 100-200 mph) and can carry heavy loads while the storm is ongoing. It starts as a funnel of wind that descends from the storm clouds and becomes a ""tornado"" when it touches the ground.""

Therefore, a tornado is formed *after* the funnel of rotating wind touches the ground. Options A, B, and C describe stages *before* the tornado becomes a tornado.
"
Waa kuwee kuwan sifada saxda ah ee daweesha taluulyada duufaanta?,"The correct answer is **B: Badana waxay ku dhaqaaqaan walxaha culus.**

Here's why:

* **The passage describes a tornado as a rotating column of low-pressure air that lifts air around it.** It explicitly states that tornadoes can pick up heavy objects.
* **Option B directly reflects that key characteristic.**

Let's look at why the other options are less accurate:

* **A: Had iyo jeer waxay dhaliyaan dabaylo ku dhow 100-200 mayl saacaddiiba** - While many tornadoes *do* reach these speeds, it's not *always* the case. Tornadoes can vary in intensity.
* **C: Waxaay noqdaan sida mandaqada oo kale marka aay so gaaraan dhulka** - This is a metaphorical description of the funnel cloud, but not a defining physical characteristic.
* **D: Waxay yihiin tiirar wareeg ah oo hawada dibadda u riixaya** - While the passage mentions a rotating column, the description focuses on lifting air *around* it, not necessarily pushing air outwards.

Therefore, option B is the most accurate and directly supported by the passage.
"
"Sida ku muuqata ama ku cad tuduca, Halkee ayuu qofka socotada ah ka heli karaa talo ku saabsan xaaladda siyaasadeed ee magaalada uu u socdo?","The correct answer is **B: Laga soo bilaabo aragtida lagu soo bandhigay la-talinta safarka**.

Here's why:

The passage explicitly states: ""Latalinta ayaaba iska ah xog dulmarid kooban ee jawiga siyaasada dalka."" (Advice is a brief intelligence report on the political climate of the country.) It also mentions that the advice isn't always from the traveler's own government, but from other sources that are tailored to their citizens.

Option B directly reflects this by saying the advice is available ""from the perspective presented by travel advice."" The other options are incorrect because:

*   **A: Waxaa laga helaa dawladda dalka aay booqan doonaan:** While governments *can* provide advice, the passage emphasizes that this isn't always the case and other sources are relevant.
*   **C: Muwaadiniinta dalka ay booqan doonaan:**  The passage says the advice is tailored to *their* citizens, not necessarily to the traveler's.
*   **D: Wadankooda sax ah:** The passage mentions advice might *not* come from a traveler's own government.



"
