language_name,language_code,language_family,region,accuracy
Tajik,tgk_Cyrl,Indo-European,Asia 1,74.0
Tagalog,tgl_Latn,Austronesian,Asia 3,84.4
Thai,tha_Thai,Tai-Kadai,Asia 3,80.9
Tigrinya,tir_Ethi,Afro-Asiatic,Africa,43.8
Tswana,tsn_Latn,Atlantic-Congo,Africa,43.3
Tsonga,tso_Latn,Atlantic-Congo,Africa,39.9
Turkish,tur_Latn,Turkic,Asia 1,81.7
Ukrainian,ukr_Cyrl,Indo-European,Europe 2,87.4
Urdu,urd_Arab,Indo-European,Asia 2,77.2
Urdu,urd_Latn,Indo-European,Asia 2,60.0
Northern Uzbek,uzn_Latn,Turkic,Asia 1,77.8
Vietnamese,vie_Latn,Austroasiatic,Asia 3,86.3
Waray,war_Latn,Austronesian,Asia 3,72.9
Wolof,wol_Latn,Atlantic-Congo,Africa,31.3
Xhosa,xho_Latn,Atlantic-Congo,Africa,54.3
Yoruba,yor_Latn,Atlantic-Congo,Africa,42.2
Chinese (Simplified),zho_Hans,Sino-Tibetan,Asia 4,87.1
Chinese (Traditional),zho_Hant,Sino-Tibetan,Asia 4,85.1
Standard Malay,zsm_Latn,Austronesian,Asia 3,85.2
Zulu,zul_Latn,Atlantic-Congo,Africa,56.8
